date,lolpatch,team,matchtype,gamenumber,side,victorydefeat,time,ban1,ban2,ban3,ban4,ban5,towersdestroyed,inhibitorsdestroyed,baronsslain,dragonsslain,riftheraldsslain,dragons,role,summoner,champion,kill,death,assist,largestkillingspree,largestmultikill,firstblood,totaldamagedealttochampions,physicaldamagedealttochampions,magicdamagedealttochampions,truedamagedealttochampions,totaldamagedealt,physicaldamagedealt,magicdamagedealt,truedamagedealt,largestcriticalstrike,totaldamagetoobjectives,totaldamagetoturrets,damagehealed,damagetaken,physicaldamagetaken,magicdamagetaken,truedamagetaken,wardsplaced,wardsdestroyed,stealthwardspurchased,controlwardspurchased,goldearned,goldspent,minionskilled,neutralminionskilled,neutralminionskilledinteamsjungle,neutralminionskilledinenemyjungle,kdaratio,killparticipation,damageperdeath,damageshare,damagepergold,goldadvantage,csadvantage,csperminute
2019-11-08,9.22,Lindenwood University,scrim,1,blue,victory,22:24,Jax,Morgana,Caitlyn,Vayne,Kai'Sa,7,1,1,2,1,Infernal Ocean,top,PoppyaOn,Camille,3,2,3,3,1,1,11.1,9.1,0.2,1.8,95.1,81.6,0.2,13.3,0,11.5,3.9,1.6,9.8,4.3,5.3,0.1,12,1,0,1,9.2,8.3,143,12,8,0,3,0.222222222,5.55,0.226069246,1.206521739,2.8,26,6.919642857
2019-11-08,9.22,Lindenwood University,scrim,1,blue,victory,22:24,Jax,Morgana,Caitlyn,Vayne,Kai'Sa,7,1,1,2,1,Infernal Ocean,jng,MoonJuices,Skarner,15,0,4,15,4,0,19.6,11.4,5.8,2.4,140.7,99.2,32.7,8.8,0,23.3,5.3,9,17.9,10.7,6.5,0.7,6,1,0,0,13.4,11.5,27,118,74,8,19,0.703703704,19.6,0.399185336,1.462686567,6.4,42,6.473214286
2019-11-08,9.22,Lindenwood University,scrim,1,blue,victory,22:24,Jax,Morgana,Caitlyn,Vayne,Kai'Sa,7,1,1,2,1,Infernal Ocean,mid,VinaZz VI,Ryze,2,1,5,2,1,0,5.5,0.4,5.1,0,124,8.9,104.8,10.3,0,8.2,2.2,2.2,4.7,2,2.6,0.1,10,1,0,2,9.2,7.2,168,14,10,0,7,0.259259259,5.5,0.112016293,0.597826087,2.7,43,8.125
2019-11-08,9.22,Lindenwood University,scrim,1,blue,victory,22:24,Jax,Morgana,Caitlyn,Vayne,Kai'Sa,7,1,1,2,1,Infernal Ocean,adc,Puzyri,Tristana,4,2,8,2,2,0,6.5,4.5,1.9,0.1,62.3,49,13.2,0.1,571,10.5,3.8,0.4,6.1,2.9,2.9,0.3,8,1,0,5,8.7,7,124,4,4,0,6,0.444444444,3.25,0.132382892,0.747126437,2.5,6,5.714285714
2019-11-08,9.22,Lindenwood University,scrim,1,blue,victory,22:24,Jax,Morgana,Caitlyn,Vayne,Kai'Sa,7,1,1,2,1,Infernal Ocean,sup,Kendallizer,Leona,3,1,13,3,1,0,6.4,1.9,4,0.6,17.4,5.8,5.6,6,0,0.7,0.2,1.6,8.4,5.3,3,0.1,22,5,0,9,6.7,6.1,33,0,0,0,16,0.592592593,6.4,0.130346232,0.955223881,2.7,19,1.473214286
2019-11-08,9.22,Purdue Fort Wayne,scrim,1,red,defeat,22:24,Nunu & Willump,Zac,Zoe,Soraka,Nami,0,0,0,1,0,Mountain,top,Lemonado,Maokai,1,4,2,1,1,0,8.4,1.5,6.8,0,81.2,12.9,59.5,8.7,0,2.2,2,5,17.3,11.7,3.6,1.9,8,0,0,1,6.4,5.8,129,0,0,0,0.75,0.5,2.1,0.292682927,1.3125,-2.8,-26,5.758928571
2019-11-08,9.22,Purdue Fort Wayne,scrim,1,red,defeat,22:24,Nunu & Willump,Zac,Zoe,Soraka,Nami,0,0,0,1,0,Mountain,jng,inhumani,Warwick,2,6,2,2,1,0,4.7,1.6,2.5,0.6,79.6,48.9,26,4.7,0,5.7,0,8.1,20.8,14.2,5.1,1.5,4,3,0,3,7,6.5,11,92,72,0,0.666666667,0.666666667,0.783333333,0.163763066,0.671428571,-6.4,-42,4.598214286
2019-11-08,9.22,Purdue Fort Wayne,scrim,1,red,defeat,22:24,Nunu & Willump,Zac,Zoe,Soraka,Nami,0,0,0,1,0,Mountain,mid,KingBooty,Syndra,2,6,1,2,1,0,7.4,0.6,6.3,0.6,64.1,9.6,52.4,2.1,0,0.9,0,0.9,10.7,6.1,4,0.7,9,3,0,3,6.5,5.8,131,8,8,0,0.5,0.5,1.233333333,0.257839721,1.138461538,-2.7,-43,6.205357143
2019-11-08,9.22,Purdue Fort Wayne,scrim,1,red,defeat,22:24,Nunu & Willump,Zac,Zoe,Soraka,Nami,0,0,0,1,0,Mountain,adc,Brïsingr,Jinx,1,7,1,1,1,0,5.4,4.8,0.4,0.1,52.7,49.9,0.8,2,519,2.4,1,0.3,11.4,7,3.8,0.5,6,2,0,0,6.2,5.8,118,4,4,0,0.285714286,0.333333333,0.771428571,0.18815331,0.870967742,-2.5,-6,5.446428571
2019-11-08,9.22,Purdue Fort Wayne,scrim,1,red,defeat,22:24,Nunu & Willump,Zac,Zoe,Soraka,Nami,0,0,0,1,0,Mountain,sup,Gem27,Lulu,0,4,1,0,0,0,2.8,0.5,2.3,0,10.8,1.8,7,2,0,3.2,0,0,5.1,2,2.9,0.2,11,1,0,4,4,3.1,14,0,0,0,0.25,0.166666667,0.7,0.097560976,0.7,-2.7,-19,0.625
